0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3.66E-13,1.40E-11,0.654531589,5.62E-14,3.66E-12,0.00945404,0.063742152,0.043263388,0.005249504,0.026675271,0.000120961,0.012137997,0.014927335,0.011200134,0.081812575,5.89E-12,0.009684415,0.000804695,0.066374287,2.17E-05
4.27E-13,1.88E-11,0.670621659,6.02E-14,4.96E-12,0.009500002,0.049544013,0.039874692,0.007189621,0.02754105,0.000162936,0.01389009,0.017359012,0.01186869,0.079743921,7.42E-12,0.011538751,0.000739444,0.060407105,1.90E-05
3.68E-13,1.54E-11,0.675644853,5.45E-14,4.24E-12,0.009352793,0.039671854,0.042349745,0.008406877,0.024913289,0.000178559,0.012520128,0.014480222,0.01198936,0.091312562,8.78E-12,0.01120464,0.000628748,0.057325552,2.08E-05
3.78E-13,1.51E-11,0.677685411,5.67E-14,4.18E-12,0.008938288,0.041341509,0.039421172,0.008673509,0.024833152,0.000184682,0.012491047,0.014411411,0.012156614,0.089312643,8.26E-12,0.011183002,0.000648885,0.058698223,2.05E-05
4.07E-13,1.75E-11,0.672526361,5.91E-14,4.64E-12,0.008861643,0.037926452,0.040628446,0.009145619,0.02412345,0.000186684,0.015490194,0.017592291,0.01485214,0.087648135,8.89E-12,0.010401385,0.000534499,0.060061332,2.14E-05
4.09E-13,1.73E-11,0.674033891,6.15E-14,4.79E-12,0.009078927,0.040869603,0.038737737,0.008989074,0.023551047,0.000183635,0.015348667,0.017529377,0.014601129,0.087950412,8.70E-12,0.010363899,0.000481261,0.058260427,2.09E-05
3.96E-13,1.64E-11,0.686567974,5.99E-14,4.70E-12,0.00828139,0.031107644,0.040849629,0.009378737,0.022296063,0.000193636,0.01516299,0.016786608,0.015242761,0.082397083,8.90E-12,0.013892442,0.000428905,0.057393993,2.01E-05
3.93E-13,1.64E-11,0.676269415,6.00E-14,4.73E-12,0.008581186,0.030538343,0.041436718,0.009124469,0.022716755,0.000184135,0.020369768,0.022343136,0.019914737,0.079077843,8.36E-12,0.013847934,0.000376292,0.055201207,1.81E-05
3.83E-13,1.61E-11,0.668964486,5.78E-14,4.57E-12,0.009234788,0.026530843,0.050697127,0.009476774,0.024596163,0.00019323,0.021043873,0.022878771,0.020392032,0.074995508,9.13E-12,0.014191853,0.00040908,0.056379804,1.57E-05
4.13E-13,1.71E-11,0.657804682,7.01E-14,4.84E-12,0.009681183,0.020704975,0.055063191,0.010371933,0.024626492,0.000209694,0.023458478,0.025493037,0.023174685,0.073082805,9.80E-12,0.013884544,0.000383343,0.06204427,1.67E-05
